2024-05-20 17:19:29.659 [main] INFO  stepDefinitions.ApiSteps - Bearer token is generated
2024-05-20 17:19:30.497 [main] INFO  stepDefinitions.ApiSteps - POST request performed successfully
2024-05-20 17:19:30.497 [main] INFO  stepDefinitions.ApiSteps - Request body sent: {"firstName":"Johnny","lastName":"Cash","locationId":"3","middleName":"Dorian","employeeId":"1458","joinedDate":"2024-06-04"}
2024-05-20 17:19:30.497 [main] INFO  stepDefinitions.ApiSteps - Response status code is 201
2024-05-20 17:19:30.514 [main] INFO  stepDefinitions.ApiSteps - All parameters in the response body match the parameters in the request body:
2024-05-20 17:19:30.514 [main] INFO  stepDefinitions.ApiSteps - firstName: Johnny
2024-05-20 17:19:30.514 [main] INFO  stepDefinitions.ApiSteps - lastName: Cash
2024-05-20 17:19:30.514 [main] INFO  stepDefinitions.ApiSteps - locationId: 3
2024-05-20 17:19:30.514 [main] INFO  stepDefinitions.ApiSteps - middleName: Dorian
2024-05-20 17:19:30.514 [main] INFO  stepDefinitions.ApiSteps - employeeId: 1458
2024-05-20 17:19:30.514 [main] INFO  stepDefinitions.ApiSteps - joinedDate: 2024-06-04
