2024-05-23 13:14:26.161 [main] INFO  stepDefinitions.DEPRECATED_CreateEmployeeAPI - POST request performed successfully
2024-05-23 13:14:26.162 [main] INFO  stepDefinitions.DEPRECATED_CreateEmployeeAPI - Request body sent: {"firstName":"Johnny","lastName":"Cash","locationId":"5","middleName":"Dorian","employeeId":"1662","joinedDate":"2024-10-06"}
2024-05-23 13:14:26.162 [main] INFO  stepDefinitions.DEPRECATED_CreateEmployeeAPI - Response status code is 201
2024-05-23 13:14:26.162 [main] INFO  stepDefinitions.DEPRECATED_CreateEmployeeAPI - All parameters in the response body match the parameters in the request body:
2024-05-23 13:14:26.162 [main] INFO  stepDefinitions.DEPRECATED_CreateEmployeeAPI - firstName: Johnny
2024-05-23 13:14:26.162 [main] INFO  stepDefinitions.DEPRECATED_CreateEmployeeAPI - lastName: Cash
2024-05-23 13:14:26.162 [main] INFO  stepDefinitions.DEPRECATED_CreateEmployeeAPI - locationId: 5
2024-05-23 13:14:26.162 [main] INFO  stepDefinitions.DEPRECATED_CreateEmployeeAPI - middleName: Dorian
2024-05-23 13:14:26.162 [main] INFO  stepDefinitions.DEPRECATED_CreateEmployeeAPI - employeeId: 1662
2024-05-23 13:14:26.162 [main] INFO  stepDefinitions.DEPRECATED_CreateEmployeeAPI - joinedDate: 2024-10-06
