2024-05-20 17:01:19.329 [main] INFO  stepDefinitions.ApiSteps - Bearer token is generated
2024-05-20 17:01:20.377 [main] INFO  stepDefinitions.ApiSteps - POST request performed successfully
2024-05-20 17:01:20.377 [main] INFO  stepDefinitions.ApiSteps - Request body sent: {"firstName":"Johnny","lastName":"Cash","locationId":"4","middleName":"Dorian","employeeId":"6845","joinedDate":"2024-11-02"}
2024-05-20 17:01:20.377 [main] INFO  stepDefinitions.ApiSteps - Response status code is 201
2024-05-20 17:01:20.393 [main] INFO  stepDefinitions.ApiSteps - All parameters in the response body match the parameters in the request body:
2024-05-20 17:01:20.393 [main] INFO  stepDefinitions.ApiSteps - firstName: Johnny
2024-05-20 17:01:20.393 [main] INFO  stepDefinitions.ApiSteps - lastName: Cash
2024-05-20 17:01:20.393 [main] INFO  stepDefinitions.ApiSteps - locationId: 4
2024-05-20 17:01:20.393 [main] INFO  stepDefinitions.ApiSteps - middleName: Dorian
2024-05-20 17:01:20.393 [main] INFO  stepDefinitions.ApiSteps - employeeId: 6845
2024-05-20 17:01:20.393 [main] INFO  stepDefinitions.ApiSteps - joinedDate: 2024-11-02
